image_id,image_path,geohash,caption
caption_gt_0012,DEA_VLM_images/ga_ls8c_ard_3-x66y41-2020-patches/ga_ls8c_ard_3-x66y41-2020-r7kn3n4-2020-03-20-raw.png,r7kn3n4,"The image displays a landscape with a mix of natural terrestrial vegetation, cultivated cropland, bare surfaces, and several water bodies. In the bottom-left area, cultivated fields dominate with patchwork patterns of varying greens and browns, interspersed with small lakes or ponds, and a small artificial area likely representing a town. The top-right area is primarily covered by dense, dark green natural vegetation. The bottom-right is mainly natural vegetation and bare surfaces, suggesting a transition to less cultivated land. The center of the image is characterized by a large natural vegetation area. A forest meanders from the left to the right, connecting several water bodies and wetlands, with its path visible as a narrow, winding dark blue line. A road corridor is faintly visible, running roughly from the bottom-left towards the center, likely linking nature reserve and urban areas. The dominant land cover alternates between cultivated and natural vegetation, with bare surfaces mostly centralized and to the right. Vegetation appears in shades of green, cropland in lighter and darker greens or browns. The landscape overall suggests a mosaic of agriculture, and protected natural reserve, with urban fabric confined to a small area in the bottom-left. A network of narrow, lighter-toned paths or tracks branches from the main road corridor and weaves through both the cropland and natural vegetation areas, facilitating access between fields, water bodies, and the small urban settlement. Two prominent dark circular water bodies are clearly visible near the top center of the image."
caption_gt_0013,DEA_VLM_images/ga_ls8c_ard_3-x60y54-2020-patches/ga_ls8c_ard_3-x60y54-2020-rjprcgk-2020-02-12-raw.png,rjprcgk,"The image displays a coastal landscape dominated by extensive water bodies, including a large ocean area on the right and smaller inland water features such as rivers and possible basins, especially in the bottom-left and central areas. The top-left corner features a small urban or artificial surface area with a dense, bright pattern, likely a small town or harbor, adjacent to the coast. Natural terrestrial vegetation, appearing dark green, covers much of the land, especially in the center and right, with patches of bare ground (light brown) visible in the bottom-left. The coastline curves prominently, and there are hints of a road corridor connecting the urban area to other parts of the landscape. Vegetated surfaces clearly dominate over bare surfaces, with urban fabric and artificial surfaces being limited to the top-left. The overall color palette includes deep blues for water, dark greens for forests and parks, and lighter browns for bare ground, reflecting a landscape where natural vegetation and ocean are the most prominent features. A network of roads branches from the main road corridor, connecting scattered clearings and small structures within the vegetated area to the urban zone near the coast. Several small, bright white cloud patches are visible over the ocean in the upper right portion of the image."
caption_gt_0014,DEA_VLM_images/ga_ls8c_ard_3-x64y32-2020-patches/ga_ls8c_ard_3-x64y32-2020-r659cm8-2020-01-25-raw.png,r659cm8,"The image shows a landscape dominated by dark green hues indicating extensive natural terrestrial vegetation, particularly in the top-right, bottom-right, and parts of the bottom-left areas. Patches of lighter green and brown in the top-left and top-right suggest cultivated cropland, with artificial surfaces such as a small town or industrial area visible as light patches in the top-left. The center and bottom-right areas display natural bare surfaces, appearing as light brown or tan spots. Several road corridors, including a prominent curved road in the lower half, connect these areas and link to artificial surfaces. A narrow river or stream, reflecting dark blue or black, meanders from the left towards the center, and small water bodies or basins are scattered throughout, mostly in vegetated or bare areas. There is a balance between vegetated and bare surfaces, with vegetation dominating but significant bare ground and artificial land use present, reflecting a mixed landscape of cropland, natural reserves, and urban fabric. The curved road in the lower half intersects with another major linear road near the center of the image, forming a transportation junction that connects the quarry, artificial surfaces, and cropland areas. A large, light-colored quarry or open-pit mining site is clearly visible near the center-left, distinguished by its irregular shape and stark contrast with the surrounding vegetation."
caption_gt_0015,DEA_VLM_images/ga_ls8c_ard_3-x64y32-2020-patches/ga_ls8c_ard_3-x64y32-2020-r652s6z-2020-01-25-raw.png,r652s6z,"The image displays a landscape dominated by natural terrestrial vegetation and cultivated cropland, with a patchwork pattern spread throughout all areas. Multiple rivers and streams, identifiable by their winding dark blue to black paths, flow primarily from the top left to the bottom right, forming a branching network and separating various land cover patches. Water bodies, mainly in the form of narrow rivers, are present across the image but are relatively minor in area compared to the land. Scattered artificial surfaces, including small towns and urban fabric, appear as lighter patches, concentrated in all areas. Road corridors are visible as faint linear features connecting urban clusters, running mainly in north-south and east-west directions. Bare ground is minimal and interspersed within the vegetation and cropland. The overall color palette is a mix of dark greens for forests, lighter greens for croplands, and subtle grays and browns for urban and bare areas. Vegetated surfaces are dominant, while artificial and bare surfaces are secondary, indicating a primarily rural and natural landscape with some urban development and transportation infrastructure. Several road corridors closely follow the edges of rivers and streams, indicating that transportation routes are aligned with natural watercourses throughout the landscape. A large, irregularly shaped dark patch, identified as a dense forest or wetland, is clearly visible in the lower right quadrant of the image."
caption_gt_0016,DEA_VLM_images/ga_ls8c_ard_3-x58y38-2020-patches/ga_ls8c_ard_3-x58y38-2020-r4ycw6k-2020-01-13-raw.png,r4ycw6k,"The satellite image shows a landscape dominated by natural bare surfaces, especially in the center and bottom areas, with extensive light brown and tan hues. The top-left area contains patches of cultivated terrestrial vegetation, while the top-right area has a mix of natural and cultivated vegetation, appearing in varying shades of green and brown. The bottom-left also features cultivated vegetation interspersed with bare surface, while the bottom-right transitions into natural terrestrial vegetation. Water bodies are visible as small, scattered blue-toned features, with a river or stream likely running through the top or top-right area, following a subtle linear path. Vegetation is patchy and less dominant than bare surface overall, with no clear irrigated field patterns. The landscape is primarily used for natural and cultivated purposes, with water features providing limited aquatic presence. The reddish-orange area in the bottom-left quadrant forms a clear boundary with the adjacent lighter bare surfaces, creating a distinct transition zone between the two surface types."
caption_gt_0017,DEA_VLM_images/ga_ls8c_ard_3-x49y33-2020-patches/ga_ls8c_ard_3-x49y33-2020-r1bvcp0-2020-02-17-raw.png,r1bvcp0,"The image displays a predominantly agricultural landscape with large blocks of cultivated terrestrial vegetation interspersed with patches of natural forest surface, especially prominent in the top-right, bottom-left, bottom-right, and center areas. Artificial surfaces are concentrated in the top-left area, forming a small town with clustered lighter patches. Faint road corridors traverse the image in a grid pattern, linking artificial and cultivated areas, primarily running north-south and east-west. The overall color palette is dominated by brown and tan hues, indicating dry or harvested cropland, with occasional darker greenish patches for wetter or vegetated zones. The balance is skewed toward bare and cultivated surfaces, with minimal dense natural vegetation. The landscape is mainly used for cropland and a sparse artificial settlement network. Linear tree rows or windbreaks separate several cultivated fields, forming visible green corridors that connect scattered patches of natural vegetation across the landscape. Numerous small, irregularly shaped dark patches scattered throughout the landscape indicate the presence of natural forest, particularly concentrated in the left-central part of the image."
caption_gt_0018,DEA_VLM_images/ga_ls8c_ard_3-x58y37-2020-patches/ga_ls8c_ard_3-x58y37-2020-r4wxfqd-2020-01-04-raw.png,r4wxfqd,"The satellite image is dominated by natural bare surfaces, especially in the center and throughout all quadrants, with patches of natural terrestrial vegetation. The landscape shows a reddish-brown hue overall, indicating exposed soil or bare ground as the primary cover. There are subtle patterns suggesting the presence of wetlands and water bodies, likely small and dispersed, with a river or stream meandering through the area—though these water features are relatively minor compared to the extensive bare land. Vegetated areas are secondary to the bare surfaces and appear in irregular patches rather than organized fields. The balance strongly favors bare surfaces, with natural and cultivated vegetation making up a smaller proportion, and the overall landscape use appears to be natural and some wetland presence. A network of linear tracks or paths connects the cluster of small, light-colored geometric shapes in the lower right quadrant to other areas."
caption_gt_0019,DEA_VLM_images/ga_ls8c_ard_3-x58y37-2020-patches/ga_ls8c_ard_3-x58y37-2020-r4wx0ue-2020-01-04-raw.png,r4wx0ue,"A prominent river or stream, appearing as a winding dark band, flows diagonally from the top right toward the bottom left, bordered by patches of natural terrestrial vegetation that appear dark greenish-brown. The majority of the image is dominated by natural bare surfaces, which are reddish-brown in color, interspersed with scattered natural vegetation, especially in the top-left, top-right, and bottom-left areas. Small, irregular water bodies or wetland features are present along the river corridor, but they are relatively minor in size. The bottom-left and bottom-right areas show larger expanses of bare surface with only sparse vegetation. Faint linear features, likely road corridors, run diagonally and intersect near the center. Overall, bare surfaces are dominant with fragmented patches of natural and cultivated vegetation, and the landscape displays a reddish hue with dark, vegetated riverbanks and occasional lighter cultivated fields. A network of faint tracks or paths branches off from the main road corridors and connects the rectangular, light-toned patch to both the river corridor and other bare surface areas. A distinct rectangular, light-toned patch is visible just right of the image center, indicating an area of human modification or land clearing."
caption_gt_0020,DEA_VLM_images/ga_ls8c_ard_3-x58y37-2020-patches/ga_ls8c_ard_3-x58y37-2020-r4xn9wd-2020-01-13-raw.png,r4xn9wd,"The satellite image shows a landscape dominated by natural bare surfaces, especially in the center and right side, where lighter tan hues are prominent. Natural terrestrial vegetation is mainly present along the left and top edges, appearing as darker reddish-brown areas. Water bodies, possibly including small rivers, streams, or wetlands, may be present but are not visually distinct or dominant. The balance of the landscape leans heavily toward bare surface with some vegetated patches, and the overall coloration ranges from reddish-brown (vegetation) to light tan (bare ground). The landscape appears primarily natural, with mixed use of bare ground and vegetation, and some wetland or water features likely scattered or subtle. The winding, light-colored tracks or paths connect the vegetated reddish-brown areas to the bare tan surfaces, forming a transition corridor between these distinct landscape zones."
caption_gt_0021,DEA_VLM_images/ga_ls8c_ard_3-x59y30-2020-patches/ga_ls8c_ard_3-x59y30-2020-r38kffk-2020-01-31-raw.png,r38kffk,"The image shows a predominantly cultivated landscape, with large rectangular plots of cropland covering most of the area. The overall color is light brown, indicating dry or harvested fields, with some patches of darker green suggesting natural or cultivated vegetation, especially in the top-left and top-right areas. A river or stream is visible winding horizontally across the top portion of the image, with a sinuous path and dark blue to greenish hues, and is the main water body present. A small urban area or town, appearing as a cluster of denser, grayish artificial surfaces, is located near the top center, adjacent to the river. There are a few small, irregular patches of natural bare surfaces, mainly in the bottom-left and bottom-right areas. Road corridors are visible as thin, straight lines intersecting the cropland, connecting the urban area at the top with the rest of the landscape and running in both north-south and east-west directions. The landscape is dominated by cultivated terrestrial vegetation with scattered natural vegetation, and bare surfaces are present but limited. The artificial surfaces are concentrated in the top-center urban area. The balance favors cultivated land use, with a clear structure of agricultural activity interspersed with minor urban and natural elements. Several straight road corridors intersect directly with the river near the urban area, forming key transportation links between the town and the surrounding agricultural fields."
caption_gt_0022,DEA_VLM_images/ga_ls8c_ard_3-x59y30-2020-patches/ga_ls8c_ard_3-x59y30-2020-r1xg854-2020-05-22-raw.png,r1xg854,"The image displays a landscape dominated by cultivated terrestrial vegetation (patches of green and brown fields) interspersed with areas of natural terrestrial vegetation, especially concentrated in the bottom-left and bottom-right. A meandering river, appearing dark blue to black, flows across the top-left and bottom-center, with adjacent wetlands visible as darker, irregular patches. A road corridor, light brown in color, runs diagonally from the top-left to the bottom-right, linking cultivated and natural areas and passing near a small artificial surface (likely a small town or settlement) in the bottom-right. The top and center areas are mostly agricultural with rectangular field patterns, while the bottom-left is more densely vegetated and less fragmented. Bare surfaces are limited and interspersed, with vegetated surfaces clearly dominant. The overall color palette features dark greens for forests and wetlands, lighter greens and browns for croplands, and tan for roads and artificial surfaces, indicating a landscape primarily used for agriculture with significant natural vegetation and some urban and industrial presence. The road corridor directly connects the cluster of white-roofed buildings near the center to both the agricultural fields and the nearby natural vegetation, facilitating access between these different land uses. A prominent cluster of white-roofed buildings is visible near the center of the image, indicating a farmstead or agricultural facility."
caption_gt_0023,DEA_VLM_images/ga_ls8c_ard_3-x59y30-2020-patches/ga_ls8c_ard_3-x59y30-2020-r385zqr-2020-01-31-raw.png,r385zqr,"The image displays a predominantly cultivated landscape with a patchwork of rectangular cropland fields in various shades of brown and light green, indicating both cultivated terrestrial vegetation and bare soil. Natural terrestrial vegetation is visible mainly in the top-right and bottom-left areas, appearing as darker green patches, while natural bare surfaces are interspersed, especially in the bottom and center areas. Artificial surfaces, possibly a small town or industrial site, are present in the top-left area but occupy a minor portion. A narrow, winding river or stream can be seen crossing the fields, likely running diagonally, with adjacent fields indicating potential irrigation. There is also evidence of an open pit mine, likely visible as a lighter, irregular patch, and a road corridor runs diagonally from the top left to the bottom right, connecting through the landscape and linking artificial and cultivated zones. Overall, the balance is strongly in favor of cultivated and bare surfaces, with vegetated areas being less extensive. The color palette is dominated by browns and tans with patches of dark green and occasional lighter hues, reflecting the mixed agricultural and semi-natural land use. Several roads branch off from the main diagonal road, directly linking multiple rectangular cropland fields and facilitating access between cultivated parcels."
caption_gt_0024,DEA_VLM_images/ga_ls8c_ard_3-x59y30-2020-patches/ga_ls8c_ard_3-x59y30-2020-r385tb2-2020-01-31-raw.png,r385tb2,"The landscape is primarily used for agriculture, with visible irrigation infrastructure and some natural and artificial land cover. The image shows a landscape dominated by cultivated terrestrial vegetation, with numerous large, dark green circular irrigated fields spread across the top-left, top-right, and central areas, indicating significant agricultural activity. Smaller circles and rectangular plots are also visible, surrounded by extensive light brown bare surfaces. A winding river or stream, appearing dark and sinuous, traverses the lower central and bottom-left areas, accompanied by irregularly shaped water bodies and patches of natural bare surface. Scattered patches of natural terrestrial vegetation, appearing as muted green, are found mainly in the bottom-right and top-right corners. There is a small artificial surface or urban fabric area in the top-left, likely a small town, connected by a faint road corridor running horizontally and linking cultivated areas. The balance of the image favors bare and cultivated surfaces, with vegetated patches and water bodies providing contrast. The overall color palette is dominated by shades of brown and green, with water features reflecting dark blue or black hues. Several large circular irrigated fields are directly adjacent to or partially overlap rectangular plots, indicating integrated land management practices between different field shapes. A cluster of small, bright green rectangular plots is visible near the center-left, contrasting with the surrounding larger circular fields."
caption_gt_0025,DEA_VLM_images/ga_ls8c_ard_3-x58y37-2020-patches/ga_ls8c_ard_3-x58y37-2020-r4wezbm-2020-01-13-raw.png,r4wezbm,"The image displays a landscape dominated by natural bare surfaces, which appear as extensive reddish-brown areas throughout, especially in the center and along the edges. Patches of cultivated terrestrial vegetation are visible in the top-left and bottom-left areas, showing as slightly darker or patterned zones within the otherwise bare surroundings. Natural terrestrial vegetation is more prominent in the top-right and bottom-right, though it remains secondary to bare surfaces. One or more small water bodies and wetlands are discernible, with lighter or slightly bluish hues, mainly in the upper right and near the right edge, though they are limited in size. A faint linear road corridor runs diagonally from the bottom-right toward the upper-left, providing connectivity across the scene. The overall color palette is dominated by warm reddish and orange tones, indicating dry bare soil, with sparse patches of vegetation and minimal visible water. The balance of land cover strongly favors bare surfaces over vegetated areas, and the landscape is primarily used for natural and cultivated purposes with minor water and wetland features. The diagonal road corridor intersects both the cultivated vegetation patches and the cluster of small, dark, circular features near the center-left, indicating that the road provides direct access to both cultivated fields and isolated tree or shrub clusters."
caption_gt_0026,DEA_VLM_images/ga_ls8c_ard_3-x59y30-2020-patches/ga_ls8c_ard_3-x59y30-2020-r1xv704-2020-01-31-raw.png,r1xv704,"The image displays a landscape dominated by cultivated terrestrial vegetation, with a patchwork of agricultural fields covering most of the area. Natural bare surfaces, appearing as lighter tan and gray patches, are scattered throughout, especially in the top-right, bottom-left, bottom-right, and central areas, indicating uncultivated or fallow land. A diagonal road corridor runs from the top left toward the bottom right, bisecting the image and linking several fields; its dark, linear appearance stands out against the surrounding land. Water bodies are limited and not prominent, but a faint river or stream may be discerned as a subtle, irregular dark line or depression. The overall color palette is dominated by shades of brown and tan, with cultivated areas slightly greener or darker than bare surfaces, indicating dry-season or semi-arid conditions. Vegetated surfaces are present but not dominant, with bare surfaces forming a significant portion of the landscape. The image primarily reflects agricultural land use with interspersed natural features. Clusters of dark vegetation line the diagonal road corridor, forming a linear pattern that visually connects the road to adjacent agricultural fields and bare patches."
caption_gt_0027,DEA_VLM_images/ga_ls8c_ard_3-x59y30-2020-patches/ga_ls8c_ard_3-x59y30-2020-r38j2u4-2020-01-31-raw.png,r38j2u4,"The image displays a predominantly agricultural landscape with extensive cultivated terrestrial vegetation in a patchwork of rectangular fields, interspersed with areas of natural bare surfaces, mainly in all quadrants. The dominant hues are light to medium browns, indicating a dry or harvested season. A small artificial area, likely a small town, is visible in the centre, characterized by a denser cluster of structures and slightly different coloration. A narrow river or stream is faintly visible, running vertically near the right side and possibly curving toward the center, with a muted blue or grayish tone. Road corridors can be seen as thin, linear features connecting the artificial surface in the center to the rest of the landscape, primarily running north-south and east-west. The balance strongly favors bare and cultivated surfaces, with minimal visible vegetation cover and no significant forested areas. The landscape is primarily used for cropland, with sparse urban fabric and minor water features. A network of smaller access paths or farm tracks branches off from the main road corridors, directly linking individual rectangular fields to the central artificial area and facilitating movement throughout the agricultural landscape."
caption_gt_0028,DEA_VLM_images/ga_ls8c_ard_3-x59y30-2020-patches/ga_ls8c_ard_3-x59y30-2020-r1xsz2y-2020-01-22-raw.png,r1xsz2y,"Linear features suggest a road corridor traversing the image, connecting cultivated and possibly artificial areas. The balance of the landscape leans toward cultivated and bare surfaces, with vegetated areas being less dominant. The overall coloration is a mix of reddish-brown and tan, reflecting the prevalence of bare soil and cropland, with some scattered dark green patches of vegetation and darker spots for water bodies or wetlands. The image shows a landscape dominated by cultivated terrestrial vegetation, especially in the form of patchwork fields with brown and light tan hues, indicating extensive cropland across all areas. Large natural bare surfaces are prominent in the center and slightly to the left, appearing as broad, light-colored patches, possibly indicating dry lake beds or exposed soil. Several smaller water bodies or wetlands, with darker tones, are scattered mainly near the central and left-central portions. There are traces of natural terrestrial vegetation, especially in the top-right and bottom-right, visible as darker greenish areas. Artificial surfaces, likely small settlements or farm infrastructure, are present in the top area. Several cultivated fields directly abut the edges of the central dry lake bed, forming a sharp boundary between agricultural land and the large natural bare surface. A distinct circular or oval-shaped bare patch, representing a large dry lake bed or salt pan, is clearly visible near the center of the image."
